field1,COUNT,Star,Year,University,POS
2406,1,4 Star,2022,Utah St.,OFFENSE
2422,13,3 Star,2022,Vanderbilt,DEFENSE
2423,15,3 Star,2022,Vanderbilt,OFFENSE
2424,3,3 Star,2022,Vanderbilt,SPECIAL
2425,2,4 Star,2022,Vanderbilt,DEFENSE
2441,7,3 Star,2022,Virginia,DEFENSE
2442,12,3 Star,2022,Virginia,OFFENSE
2443,1,3 Star,2022,Virginia,SPECIAL
2444,2,4 Star,2022,Virginia,DEFENSE
2445,2,4 Star,2022,Virginia,OFFENSE
2461,8,3 Star,2022,Virginia Tech,DEFENSE
2462,14,3 Star,2022,Virginia Tech,OFFENSE
2463,3,3 Star,2022,Virginia Tech,SPECIAL
2464,2,4 Star,2022,Virginia Tech,DEFENSE
2465,2,4 Star,2022,Virginia Tech,OFFENSE
2479,1,2 Star,2022,Wake Forest,OFFENSE
2480,8,3 Star,2022,Wake Forest,DEFENSE
2481,5,3 Star,2022,Wake Forest,OFFENSE
2482,2,4 Star,2022,Wake Forest,OFFENSE
2506,7,3 Star,2022,Washington,DEFENSE
2507,6,3 Star,2022,Washington,OFFENSE
2508,1,4 Star,2022,Washington,DEFENSE
2509,2,4 Star,2022,Washington,OFFENSE
2524,13,3 Star,2022,Washington St.,DEFENSE
2525,11,3 Star,2022,Washington St.,OFFENSE
2526,1,4 Star,2022,Washington St.,OFFENSE
2542,11,3 Star,2022,West Virginia,DEFENSE
2543,11,3 Star,2022,West Virginia,OFFENSE
2544,1,3 Star,2022,West Virginia,SPECIAL
2545,1,4 Star,2022,West Virginia,DEFENSE
2546,2,4 Star,2022,West Virginia,OFFENSE
2564,1,2 Star,2022,Western Ky.,OFFENSE
2565,10,3 Star,2022,Western Ky.,DEFENSE
2566,12,3 Star,2022,Western Ky.,OFFENSE
2567,2,3 Star,2022,Western Ky.,SPECIAL
2582,1,2 Star,2022,Western Mich.,DEFENSE
2583,2,2 Star,2022,Western Mich.,OFFENSE
2584,6,3 Star,2022,Western Mich.,DEFENSE
2585,5,3 Star,2022,Western Mich.,OFFENSE
2586,1,3 Star,2022,Western Mich.,SPECIAL
2605,1,2 Star,2022,Wisconsin,SPECIAL
2606,8,3 Star,2022,Wisconsin,DEFENSE
2607,7,3 Star,2022,Wisconsin,OFFENSE
2608,1,3 Star,2022,Wisconsin,SPECIAL
2609,2,4 Star,2022,Wisconsin,DEFENSE
2610,1,4 Star,2022,Wisconsin,OFFENSE
2627,1,2 Star,2022,Wyoming,DEFENSE
2628,3,2 Star,2022,Wyoming,OFFENSE
2629,9,3 Star,2022,Wyoming,DEFENSE
2630,4,3 Star,2022,Wyoming,OFFENSE
2631,1,4 Star,2022,Wyoming,OFFENSE
